revista_id,revista,issn_canonico
REV-0308,Paulo Freire Revista de Pedagogía Crítica,07179065; 07198019
REV-0309,Journal of the Chilean Chemical Society,07179324; 07179707
REV-0310,INTERNATIONAL JOURNAL OF MORPHOLOGY,07179367; 07179502
REV-0311,MAGALLANIA,07180209; 07182244
REV-0312,CIENCIA & TRABAJO,07180306; 07182449
REV-0313,REVISTA MAD-REVISTA DEL MAGISTER EN ANALISIS SISTEMICO APLICADO A LA SOCIEDAD,07180527
REV-0314,SOPHIA AUSTRAL,07180535; 07195605
REV-0315,REVISTA INVI,07181299; 07188358
REV-0316,AUS,0718204X; 07187262
REV-0317,Anuario de Derechos Humanos,07182058; 07182279
REV-0318,SI SOMOS AMERICANOS-REVISTA DE ESTUDIOS TRANSFRONTERIZOS,07182910; 07190948
REV-0319,POLITICA CRIMINAL,07183399
REV-0320,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,07184123
REV-0321,Liminales,07184166; 07191758; 07197748
REV-0322,RUMBOS TS Un Espacio Crítico para la Reflexión en Ciencias Sociales,07184182; 07197721
REV-0323,CULTURA Y RELIGION,07184727; 07185472
REV-0324,ESTUDIOS AVANZADOS,07185014; 07185022
REV-0325,IZQUIERDAS,07185049
REV-0326,ENCRUCIJADA AMERICANA,07185766; 07193432
REV-0327,Pléyade,0718655X; 07193696
REV-0328,Neuma,07187017; 07195389
REV-0329,Revista latinoamericana de educación inclusiva,07187378
REV-0330,Salud & Sociedad,07187475
REV-0331,Disena,07188447
REV-0332,Revista Chilena de Derecho y Ciencia Política,07189389; 07192150
REV-0333,PERSPECTIVA EDUCACIONAL,07189729
REV-0334,Revista Punto Género,07190417; 27357473
REV-0335,Historia 396,07190719; 07197969
REV-0336,Intervención,07191057; 24524751
REV-0337,Meridional Revista Chilena de Estudios Latinoamericanos,07193734; 07194862
REV-0338,Antropologías del Sur,07194498; 07195532
REV-0339,REVISTA INCLUSIONES,07194706
REV-0340,Economía y Política,07194714; 07194803
REV-0341,"Revista Infancia, Educación y Aprendizaje",07196202
REV-0342,Revista Estudios de Políticas Públicas,07196296
REV-0343,Cuadernos de teoría social.,07196415; 07196423
REV-0344,Revista Temas Sociológicos,0719644X; 07196458
REV-0345,Revista Pensamiento y Acción Interdisciplinaria,07198078
REV-0346,Autoctonia Revista de Ciencias Sociales e Historia,07198213
REV-0347,Thesis Eleven,07255136; 14617455
REV-0348,Clinical Gerontologist,07317115; 15452301
REV-0349,Journal of Applied Gerontology,07334648; 15524523
REV-0350,CRANIO-THE JOURNAL OF CRANIOMANDIBULAR & SLEEP PRACTICE,07345410; 08869634; 21510903
REV-0351,Earth Sciences History,0736623X; 19446187
REV-0352,International Journal of Educational Development,07380593; 18734871
REV-0353,World Policy Journal,07402775; 19360924
REV-0354,Journal of Assisted Reproduction and Genetics,07407769; 10580468; 15737330; 23313315
REV-0355,Computers in Human Behavior,07475632
REV-0356,Problèmes d Amérique latine,07651333; 19683898
REV-0357,ARCHIVES OF PUBLIC HEALTH,07787367; 20493258
REV-0358,Odontoestomatología,07970374; 16889339
REV-0359,Ciencias Sociales,07975538; 16884981
REV-0360,CUADERNOS DEL CLAEH-CENTRO LATINOAMERICANO DE ECONOMIA HUMANA,07976062; 23935979
REV-0361,ESPACIOS,07981015; 27390071
REV-0362,Revista de filosofía (Venezuela),07981171
REV-0363,ROCK ART RESEARCH,08130426
REV-0364,AUSTRALIAN AND NEW ZEALAND JOURNAL OF FAMILY THERAPY,0814723X; 14678438
REV-0365,CANADIAN JOURNAL OF PROGRAM EVALUATION,08341516; 14967308
REV-0366,Varona. Revista Científico Metodológica,0864196X; 19928238
REV-0367,Etnográfica,08736561; 21822891
REV-0368,EX AEQUO,08745560; 21840385
REV-0369,Mineral Processing and Extractive Metallurgy Review,08827508; 15477401
REV-0370,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,08836353; 15206548
REV-0371,Socialism and Democracy,08854300; 17452635
REV-0372,SOCIAL JUSTICE RESEARCH,08857466; 15736725
REV-0373,JOURNAL OF FAMILY VIOLENCE,08857482; 15732851
REV-0374,AFFILIA-FEMINIST INQUIRY IN SOCIAL WORK,08861099; 15523020
REV-0375,JOURNAL OF INTERPERSONAL VIOLENCE,08862605; 15526518
REV-0376,Historical Biology,08912963; 10292381
REV-0377,COASTAL MANAGEMENT,08920753; 15210421
REV-0378,The FASEB Journal,08926638; 15306860
REV-0379,NEUROPSYCHOLOGY,08944105; 19311559
REV-0380,JOURNAL OF TRAUMATIC STRESS,08949867; 15736598
REV-0381,Journal of South American Earth Sciences,08959811; 18730647
REV-0382,Critical Sociology,08969205; 15691632
REV-0383,NATURAL HAZARDS,0921030X; 15730840
REV-0384,School Effectiveness and School Improvement,09243453; 17445124
REV-0385,European Psychiatry,09249338; 17783585
REV-0386,Studies in Health Technology and Informatics,09269630
REV-0387,VEGETATION HISTORY AND ARCHAEOBOTANY,09396314; 16176278
REV-0388,Swiss Papers in English Language and Literature,09400478
REV-0389,Annals of Anatomy - Anatomischer Anzeiger,09409602
REV-0390,Zoology,09442006
REV-0391,International Journal of Science Education,09500693; 14645289
REV-0392,CHILDREN & SOCIETY,09510605; 10990860
REV-0393,AI & SOCIETY,09515666; 14355655
REV-0394,International Journal of Qualitative Studies in Education,09518398; 13665898
REV-0395,Gender & History,09535233; 14680424
REV-0396,EUROPEAN JOURNAL OF CLINICAL NUTRITION,09543007; 14765640
REV-0397,JOURNAL OF THE HISTORY OF COLLECTIONS,09546650; 14778564
REV-0398,CULTURAL TRENDS,09548963; 14693690
REV-0399,INTERNATIONAL JOURNAL OF DRUG POLICY,09553959; 18734758
REV-0400,EARLY YEARS,09575146; 14724421
REV-0401,FEMINISM & PSYCHOLOGY,09593535; 14617161
REV-0402,THEORY & PSYCHOLOGY,09593543; 14617447
REV-0403,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,09596801; 14617129
REV-0404,CAMBRIDGE ARCHAEOLOGICAL JOURNAL,09597743; 14740540
REV-0405,Time &amp; Society,0961463X; 14617463
REV-0406,International Studies in Sociology of Education,09620214; 17475066
REV-0407,Environmental Values,09632719; 17527015
REV-0408,FEMINIST LEGAL STUDIES,09663622; 15728455
REV-0409,Energy Sustainable Development/Energy for sustainable development,09730826; 23524669
REV-0410,Where Has Social Justice Gone?: From Equality to Experimentation,09783030
REV-0411,European Journal of Cardio-Thoracic Surgery,10107940; 1873734X
REV-0412,EDUCACION,10199403; 23044322
REV-0413,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,10204989; 16805348
REV-0414,REVISTA IBEROAMERICANA DE EDUCACION,10226508; 16815653
REV-0415,Boletín de Arqueología PUCP,10292004; 23044292
REV-0416,The Political Psychology of Social Unrest in Latin America,103225226; 104030650
REV-0417,Allende and Popular Unity: The Road to Democratic Socialism,103275574
REV-0418,Research Handbook on Social Work and Societies,103532926; 103532927
REV-0419,The Routledge International Handbook of Social Work Teaching,104000176
REV-0420,The Routledge International Handbook of Feminisms in Social Work,104003000
REV-0421,QUATERNARY INTERNATIONAL,10406182; 18734553
REV-0422,AMERICAN JOURNAL OF HUMAN BIOLOGY,10420533; 15206300
REV-0423,International Journal of Human–Computer Interaction,10447318; 15327590
REV-0424,LATIN AMERICAN ANTIQUITY,10456635; 23255080
REV-0425,CURRENT PSYCHOLOGY,10461310; 19364733
REV-0426,INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,1047482X; 10991212
REV-0427,Psychological Inquiry,1047840X; 15327965
REV-0428,Journal of Structural Biology,10478477; 10958657
REV-0429,QUALITATIVE HEALTH RESEARCH,10497323; 15527557
REV-0430,PSYCHOTHERAPY RESEARCH,10503307; 14684381
