folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
6507;"El Notario del siglo XXI";"Colegio Notarial de Madrid";1;1;2111;España;2444-4421;1885-009X;1885-009X;"Derecho y jurisprudencia, Derecho civil, Derecho internacional, Derecho mercantil, Derecho penal, Derecho fiscal"
19743;"El oído pensante";"Universidad de Buenos Aires; Facultad de Filosofía y Letras; Instituto de Ciencias Antropológicas";1;1;7563;Argentina;2250-7116;2250-7116;;Música
6510;"El ojo que piensa. Revista de cine iberoamericano";"Universidad de Guadalajara,  Centro Universitario de Ciencias Sociales y Humanidades,";1;1;2112;México;2007-4999;2007-4999;;Cine
19286;"El Ornitorrinco Tachado";"Universidad Autónoma del Estado de México, Facultad de Artes";1;1;7248;México;2448-6949;2448-6930;2448-6930;"Arte, Artes plásticas, Cultura, Filosofía, Historia del arte"
26982;"El palma de la Juventud";"Universidad Ricardo Palma";1;1;11022;Perú;2789-0813;2789-0813;;"Lingüística, Literatura, Poesía"
28902;"El Peldaño";"Departamento de Teatro, Facultad de Artes, Universidad Nacional del Centro de la Provincia de Buenos Aires";1;1;11628;Argentina;3008-7562;1666-9460;;"Arte, Cine, Historia del arte, Lingüística, Literatura, Teatro"
6514;"El periplo sustentable";"Universidad Autónoma del Estado de México, Facultad de Turismo y Gastronomía";1;1;2113;México;1870-9036;1870-9036;;Turismo
28380;"El Pez y la Flecha. Revista de Investigaciones Literarias";"Universidad Veracruzana, Instituto de Investigaciones Lingüístico-Literarias";1;1;11484;México;2954-3843;2954-3843;;Literatura
23867;"El taco en la brea";"Centro de Publicaciones de la Universidad Nacional del Litoral";1;1;10032;Argentina;2362-4191;2362-4191;;"Literatura, Humanidades"
6535;"El Trimestre económico";"Fondo de Cultura Económica";1;1;2118;México;2448-718X;0041-3011;0041-3011;Economía
6540;Elecciones;"Oficina Nacional de Procesos Electorales";1;1;2121;Perú;1995-6290;1994-5272;1994-5272;"Ciencia política y administración pública"
6554;"Electronic journal of research in educational psychology";"Editorial Universidad de Almería";1;1;2124;España;1696-2095;;;"Educación, Psicología"
28630;Élenkhos;"Sociedad filosófica del Uruguay";1;1;11435;Uruguay;2730-5236;2393-6819;;Filosofía
6565;"Eletrônica de Potência";"Sociedade Brasileira de Eletrônica de Potência";1;1;11599;Brasil;1984-557X;1414-8862;1414-8862;"Ingeniería de comunicaciones, electrónica y control, Ingeniería eléctrica"
6568;Elia;"Universidad Nacional de Educación a Distancia";1;1;2129;España;2253-8283;1576-5059;1576-5059;"Lingüística, Literatura"
22593;Elos;"Universidade de Santiago de Compostela";1;1;9310;España;2386-7620;2386-7620;;"Educación, Literatura"
6580;"Em Questão";"Universidade Federal do Rio Grande do Sul (UFRGS)";1;1;2136;Brasil;1808-5245;2447-5750;1807-8893;"Bibliotecología, Ciencias de la información, Museología"
21615;"Em Tese";"Universidade Federal de Santa Catarina (UFSC)";1;1;8709;Brasil;1806-5023;1806-5023;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Sociología"
6586;Emancipação;"Universidade Estadual de Ponta Grossa (UEPG)";1;1;2137;Brasil;1982-7814;1519-7611;1519-7611;"Ciencias sociales y humanidades, Educación, Multidisciplinarias, Sociología, Trabajo social"
21690;Eme;"Universitat Politècnica de València";1;1;8765;España;2341-3018;2253-6337;2253-6337;"Artes plásticas, Bellas artes, Diseño, Humanidades"
26131;"Emerging Trends in Education";"Universidad Juárez Autónoma de Tabasco, Secretaría de Investigación Posgrado y Vinculación";1;1;10781;México;2594-2840;2594-2840;;"Ciencias sociales y humanidades, Educación"
6597;"Emerita. Revista de Lingüística y Filología Clásica";"Editorial CSIC";1;1;2141;España;1988-8384;0013-6662;0013-6662;"Lingüística, Filología"
6598;"Empiria. Revista de metodología de ciencias sociales";"Universidad Nacional de Educación a Distancia, Facultad de Ciencias Políticas y Sociología, Departamento de Sociología I, Teoría, Metodología y Cambio Social";1;1;2142;España;2174-0682;;1139-5737;Sociología
19290;"En la España medieval";"Universidad Complutense de Madrid, Servicio de publicaciones.";1;1;7251;España;1988-2971;0214-3038;;Historia
28043;"En la otra isla";"Instituto de Artes del Espectáculo, Facultad de Filosofía y Letras, Universidad de Buenos Aires";1;1;11260;Argentina;2796-9924;2796-9924;;"Arte, Cine, Cultura, Humanidades"
27400;"En las Fronteras del Derecho";"Universidad de La Frontera";1;1;11700;Chile;2735-7236;2735-7236;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho y jurisprudencia, Derecho civil, Derecho internacional, Derechos humanos"
24138;"En letra derecho penal";"En Letra. Derecho Penal";1;1;10140;Argentina;2469-0864;2469-0864;;"Derecho penal"
28831;"En líneas generales";"Universidad de Lima. Programa de Estudios Generales";1;1;11925;Perú;2616-6658;2616-6658;;Multidisciplinarias
6617;"En-claves del pensamiento";"Instituto Tecnológico y de Estudios Superiores de Monterrey, Escuela de Humanidades y Educación";1;1;2149;México;2594-1100;1870-879X;1870-879X;"Arte, Filosofía, Historia, Literatura, Psicología"
25556;Encartes;"Centro de Investigación y Estudios Superiores en Antropología Social; Instituto Tecnológico y de Estudios Superiores de Occidente; El Colegio de la Frontera Norte";1;1;10596;México;2594-2999;2594-2999;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades"
6622;"Encontros Bibli";"Universidade Federal de Santa Catarina (UFSC)";1;1;2151;Brasil;1518-2924;1518-2924;;"Bibliotecología, Ciencias de la información, Museología"
23620;"Encounters in theory and history of education";"Queen’s University, Faculty of Education";1;1;9922;"Iberoamericanistas-América del Norte";2560-8371;2560-8371;;Educación
6628;"Encrucijada. Revista electrónica del Centro de Estudios en Administración Pública";"Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales, Centro de Estudios en Administración Pública";1;1;2153;México;2007-1949;2007-1949;;"Ciencia política y administración pública"
27333;"Encuentro educativo";"Área de Revistas Científicas y Académicas, Instituto de Ciencias de la Educación, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo";1;1;11405;Argentina;2718-8035;2718-8035;;"Educación, Planificación educativa"
23987;Encuentros;"Universidad Nacional Experimental Rafael María Baralt";1;1;10086;Venezuela;2610-8046;2343-6131;;"Ciencias sociales y humanidades"
6644;"Encuentros latinoamericanos";"Universidad de la República, Facultad de Humanidades y Ciencias de la Educación, Centro de Estudios Interdisciplinarios Latinoamericanos ""Profesora Lucía Sala""";1;1;2160;Uruguay;1688-437x;1688-437x;;"Ciencias sociales y humanidades, Estudios locales, Estudios latinoamericanos"
6647;"Encuentros uruguayos";"Universidad de la República, Facultad de Humanidades y Ciencias de la Educación, Centro de Estudios Interdisciplinarios uruguayos (CEIU)";1;1;11292;Uruguay;1688-5236;1688-5236;;"Antropología, Historia, Estudios locales"
6660;Endoxa;"Editorial UNED";1;1;2164;España;2174-5676;1133-5351;1133-5351;Filosofía
26911;"Energías Renovables y Medio Ambiente";ASADES;1;1;11098;Argentina;2684-0073;0328-932X;;"Ciencias sociales y humanidades, Recursos naturales no renovables, Ciencia, Energía, Ciencia y Tecnología, Medio ambiente"
25949;"ENERLAC. Revista de Energía de Latinoamérica y el Caribe";"ENERLAC. Revista de Energía de Latinoamérica y el Caribe.";1;1;10734;Ecuador;2631-2522;2602-8042;;"Ingeniería eléctrica"
19294;Enfermería;"Universidad Católica del Uruguay, Facultad de Enfermería y Tecnologías de la Salud";1;1;7253;Uruguay;2393-6606;1688-8375;1688-8375;Enfermería
6689;"Enfermería Actual en Costa Rica";"Universidad de Costa Rica";1;1;2175;"Costa Rica";1409-4568;1409-4568;;Enfermería
26159;"Enfermería cuidándote";"Colegio Oficial de Enfermería de Málaga";1;1;10785;España;2695-9364;2695-9364;;Enfermería
20148;"Enfermeria Dermatológica";"Asociación Nacional de Enfermería Dermatológica e Investigación del Deterioro de la Integridad Cutánea (ANEDIDIC)";1;1;7848;España;2386-4818;1888-3109;;"Dermatología, Enfermería"
23503;"Enfermería Investiga";"Universidad Técnica de Ambato";1;1;9851;Ecuador;2550-6692;;;"Salud pública, Enfermería"
20536;"Enfermería Nefrológica";"Sociedad Española de Enfermería Nefrológica (SEDEN)";1;1;8133;España;2255-3517;2254-2884;;Enfermería
6700;"Enfermería universitaria";"Universidad Nacional Autónoma de México, Escuela Nacional de Enfermería y Obstetricia";1;1;2183;México;2395-8421;1665-7063;1665-7063;Enfermería
6707;Enfoque;"Universidad de Panamá, Facultad de Enfermería.";1;1;2185;Panamá;2644-3759;1816-2398;1816-2398;"Salud pública, Enfermería"
19296;"Enfoque UTE";"Universidad UTE";1;1;7255;Ecuador;1390-6542;;;"Ingeniería industrial, Ingeniería mecánica, Ingeniería petrolera, Tecnología, Tecnología de alimentos, Inteligencia artificial-robótica"
25676;Enfoques;"Centro de Estudios Transdisciplinarios Bolivia (CET-Bolivia)";1;1;11674;Bolivia;2616-8219;2616-8219;;"Ciencia política y administración pública, Economía, Finanzas"
28981;"Enfoques Transdisciplinarios: Ciencia y Sociedad";"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A. C.";1;1;11964;México;3061-709X;3061-709X;;"Agronomía, Biotecnología, Multidisciplinarias, Tecnología"
6711;Enfoques.;"Universidad Adventista del Plata";1;1;2187;Argentina;1669-2721;1514-6006;1514-6006;"Filosofía, Historia"
21252;"ENIAC Pesquisa";"Centro Universitário Eniac";1;1;8460;Brasil;2316-2341;2316-2341;;"Administración, Contabilidad, Relaciones internacionales, Finanzas, Hacienda pública, Planificación del desarrollo"
6755;"Enlightening tourism";"Universidad de Huelva";1;1;2199;España;2174-548X;2174-548X;;"Economía, Turismo"
6759;Enrahonar;"Servei de Publicacions de la UAB";1;1;2201;España;2014-881X;0211-402X;0211-402X;Filosofía
6765;Ensaio;"Fundação Cesgranrio";1;1;2203;Brasil;1809-4465;0104-4036;0104-4036;Educación
27324;"Ensaios de Geografia";"Universidade Federal Fluminense (UFF)";1;1;11221;Brasil;2316-8544;2316-8544;;"Cartografía, Educación, Geografía, Ciencias de la tierra"
24889;Ensambles;"Universidad Nacional de General Sarmiento";1;1;10356;Argentina;2422-5541;2422-5444;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Estudios latinoamericanos, Estudios de género"
29472;Ensayo;"Pontificia Universidad Católica del Perú";1;1;11671;Perú;2710-2947;2413-9726;;Arquitectura
6793;Ensayos;"Universidad de Castilla-La Mancha";1;1;2212;España;2171-9098;0214-4824;;Educación
22072;"Ensayos de política económica";"Universidad Católica Argentina. Facultad de Ciencias Económicas. Departamento de Investigación Francisco Valsecchi";1;1;9035;Argentina;2313-979X;2313-9781;;Economía
26327;"Ensayos económicos.";"Banco Central de la República Argentina";1;1;10839;Argentina;1850-6046;0325-3937;;Economía
19298;"Ensayos pedagógicos";"Editorial Universidad Nacional";1;1;7256;"Costa Rica";2215-3330;1659-0104;1659-0104;"Educación, Pedagogía"
6791;"Ensayos. Revista de economía";"Universidad Autónoma de Nuevo León,  Facultad de Economía, Centro de Investigaciones Económicas";1;1;2211;México;2448-8402;2448-8402;1870-221X;"Ciencias sociales y humanidades, Economía"
6796;"Enseñanza de las Ciencias Sociales";"Institut de Ciències de l'Educació. Universitat Autónoma de Barcelona; Institut de Ciències de l'Educació. Universitat de Barcelona";1;1;2215;España;2014-7694;1579-2617;1579-2617;Educación
6797;"Enseñanza de las Ciencias. Revista de Investigación y Experiencias Didácticas";"Universitat Autònoma de Barcelona";1;1;2216;España;2174-6486;0212-4521;0212-4521;Educación
22045;Entorno;"Universidad Tecnológica de El Salvador";1;1;9018;"El Salvador";2218-3345;2071-8748;;Multidisciplinarias
19300;"Entre ciencia e ingeniería";"Universidad Católica de Pereira";1;1;7258;Colombia;2539-4169;1909-8367;1909-8367;"Ingeniería industrial"
20250;Entre-Lugar;"Universidade Federal da Grande Dourados (UFGD)";1;1;7935;Brasil;2177-7829;2176-9559;;Geografía
19976;"Entreciencias: diálogos en la sociedad del conocimiento";"Universidad Nacional Autónoma de México, Escuela Nacional de Estudios Superiores Unidad León";1;1;7735;México;2007-8064;2007-8064;;Multidisciplinarias
27249;Entreculturas;"UMA Editorial";1;1;11122;España;1989-5097;1989-5097;;"Cultura, Lingüística, Humanidades, Filología"
21632;"Entrediversidades. Revista de ciencias sociales y humanidades";"Universidad Autónoma de Chiapas, Instituto de Estudios Indígenas";1;1;8725;México;2007-7610;2007-7602;2007-7602;"Ciencias sociales y humanidades"
28843;Entrelíneas;"Universidad Euroamericana";1;1;11908;Panamá;2953-3023;2953-3023;;Multidisciplinarias
6825;Entrepalavras;"Universidade Federal do Ceará (UFC)";1;1;2231;Brasil;2237-6321;2237-6321;;Lingüística
26879;Entretextos;"Universidad de La Guajira, Facultad de Educación";1;1;11994;Colombia;2805-6159;0123-9333;0123-9333;"Ciencias sociales y humanidades, Educación"
26880;Entretextos;"Universidad Iberoamericana León";1;1;11285;México;2007-5316;2007-1426;2007-1426;Multidisciplinarias
6830;Enunciación;"Universidad Distrital Francisco José de Caldas";1;1;2232;Colombia;2248-6798;0122-6339;0122-6339;Lingüística
24437;"Environmental Smoke";"Environmental Smoke";1;1;10217;Brasil;2595-5527;2595-5527;;"Ecología, Ciencia, Medio ambiente"
27138;Ephata;"Universidade Católica Editora";1;1;11600;Portugal;2795-4900;2184-5778;2184-5778;Religión
29040;"Episteme & Praxis";"Universidad Metropolitana, sede Machala";1;1;11667;Ecuador;2960-8341;;;Multidisciplinarias
20870;"Epísteme Koinonía";"Fundación Koinonía";1;1;8338;Venezuela;2665-0282;2665-0282;;"Arte, Bellas artes, Educación, Humanidades"
25928;Epistemia;"Universidad Señor de Sipán. Vicerrectorado de Investigación";1;1;10727;Perú;2708-9010;2708-9010;;Multidisciplinarias
22996;"Epistemología e historia de la ciencia";"Área de Filosofía, Centro de Investigaciones, Facultad de Filosofía y Humanidades, Escuela de Filosofía, Universidad Nacional de Córdoba";1;1;9587;Argentina;2525-1198;2525-1198;;Filosofía
6854;Epistemus;"Universidad de Sonora, División de Ingeniería, División de Ciencias Exactas y Naturales, División Ciencias Biológicas y de la Salud";1;1;2240;México;2007-8196;2007-4530;2007-4530;"Multidisciplinarias, Salud pública, Ciencia y Tecnología"
23300;Epistemus.;"Universidad Nacional de La Plata";1;1;9731;Argentina;1853-0494;1853-0494;;"Arte, Cultura, Música"
28917;Épocas;"Universidad del Salvador, Facultad de Filosofía, Historia, Letras y Estudios Orientales";1;1;11520;Argentina;2250-6292;1851-443X;;"Ciencias sociales y humanidades, Geografía, Historia, Estudios latinoamericanos"
6858;"Epos. Revista de filología";"Universidad Nacional de Educación a Distancia, Facultad de Filología";1;1;2241;España;2255-3495;0213-201X;0213-201X;Lingüística
26728;Equinoccio.;"Asociación Uruguaya de Psicoterapia Psicoanalítica (AUDEPP)";1;1;11079;Uruguay;2730-4957;2730-4957;;Psicología
21913;Erasmo;"Universidad de Valladolid";1;1;8929;España;2341-2380;2341-2380;;Humanidades
21488;Erebea;"Servicio de Publicaciones de la Universidad de Huelva";1;1;8634;España;2530-8254;0214-0691;;"Antropología, Ciencias sociales y humanidades, Historia, Historia del arte, Humanidades, Ciencias y Técnicas historiográficas"
29649;"Erevna Research Reports.";"Erevna Ciencia Ediciones";1;1;11748;Ecuador;3091-1540;;;"Administración, Ciencias sociales y humanidades, Contabilidad, Economía, Ingeniería, Tecnología"
6881;Eria;"Universidad de Oviedo, Servicio de Publicaciones";1;1;2253;España;2660-7018;0211-0563;0211-0563;Geografía
23914;"ES review";"Ediciones UVA";1;1;10053;España;2531-1654;2531-1646;;"Lingüística, Literatura, Filología"
6888;Esboços;"Universidade Federal de Santa Catarina (UFSC)";1;1;2258;Brasil;2175-7976;1414-722X;;"Historia, Humanidades"
6891;Escena;"Universidad de Costa Rica";1;1;2260;"Costa Rica";2215-4906;1409-2522;1409-2522;"Arte, Cultura, Teatro"
23245;"Escena uno";"Universidad Nacional del Centro de la Provincia de Buenos Aires; Facultad de Arte;  Instituto de Estudios Escenográficos en Artes Escénicas y Audiovisuales";1;1;9702;Argentina;2362-4000;2362-4000;;Teatro
26838;Escenarios.;"Universidad Nacional de La Plata, Facultad de Trabajo Social.";1;1;11395;Argentina;2683-7684;1666-3942;;"Ciencias sociales y humanidades, Trabajo social"
28198;"ESCPOGRA PNP";"Escuela de Posgrado de la Policía Nacional del Perú";1;1;11798;Perú;2961-2527;2961-2527;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Sociología, Criminología, Educación superior"
6913;"Escritos contables y de administración";"Departamento de Ciencias de la Administración, Universidad Nacional del Sur";1;1;2268;Argentina;1853-2055;1853-2055;1853-2063;Economía
6914;"Escritos de psicología";"Universidad de Málaga, Facultad de Psicología";1;1;2269;España;1989-3809;1138-2635;;Psicología
6919;"Escritura y pensamiento";"Universidad nacional Mayor de San Marcos. Faculta de Letras y Ciencias Humanas, Unidad de Investigaciones";1;1;2270;Perú;1609-9109;1561-087X;1561-087X;"Ciencias sociales y humanidades, Humanidades"
6107;"Escuela abierta";"Fundación San Pablo Andalucía CEU";1;1;1957;España;2603-5928;1138-6908;1138-6908;Educación
21751;Esferas;"Universidade Católica de Brasília (UCB)";1;1;8809;Brasil;2446-6190;2316-7122;;"Ciencias de la comunicación"
27481;"Esferas (Quito - En línea)";"USFQ PRESS";1;1;11091;Ecuador;2697-3499;2631-2468;;"Ciencias sociales y humanidades, Humanidades"
6932;"ESIC Market";"Escuela Superior de Gestión Comercial y Marketing";1;1;2273;España;1989-3574;0212-1867;0212-1867;"Economía, Economía de la empresa"
25606;Espacialidades;"Universidade Federal do Rio Grande do Norte (UFRN)";1;1;10605;Brasil;1984-817X;1984-817X;;"Historia, Multidisciplinarias"
6935;"Espacialidades. Revista de temas contemporáneos sobre lugares, política y cultura";"Universidad Autónoma Metropolitana, Unidad Cuajimalpa, Departamento de Ciencias Sociales de la División de Ciencias Sociales y Humanidades";1;1;2275;México;2007-560X;2007-560X;;Multidisciplinarias
20451;"Espacio i+d. Innovación más desarrollo";"Universidad Autónoma de Chiapas";1;1;8073;México;2007-6703;2007-6703;;Multidisciplinarias
6944;"Espacio, tiempo y forma. Historia antigua";"Universidad Nacional de Educación a Distancia, Facultad de Geografía e Historia";1;1;2279;España;2340-1370;1130-1082;1130-1082;Historia
6945;"Espacio, tiempo y forma. Historia contemporánea";"Universidad Nacional de Educación a Distancia, Facultad de Geografía e Historia";1;1;2280;España;2340-1451;1130-0124;1130-0124;Historia
6946;"Espacio, tiempo y forma. Historia medieval";"Universidad Nacional de Educación a Distancia, Facultad de Geografía e Historia";1;1;2281;España;2340-1362;1130-1082;0214-9745;Historia
6947;"Espacio, tiempo y forma. Historia moderna";"Universidad Nacional de Educación a Distancia, Facultad de Geografía e Historia";1;1;2282;España;2340-1400;1131-768X;0214-4433;Historia
21523;"Espacio, tiempo y forma. Serie I, Prehistoria y arqueología";"Universidad Nacional de Educación a Distancia, Facultad de Geografía e Historia";1;1;8651;España;2340-1354;1131-7698;1131-7698;"Arqueología, Prehistoria"
6943;"Espacio, tiempo y forma. Serie VI, Geografía";"Universidad Nacional de Educación a Distancia";1;1;2278;España;2340-146X;1130-2968;1130-2968;Geografía
6949;"Espacio, tiempo y forma. Serie VII, Historia del arte";"Universidad Nacional de Educación a Distancia (UNED), Facultad de Geografía e Historia";1;1;2283;España;2340-1478;1130-4715;1130-4715;"Bellas artes, Historia del arte"
25224;"Espacios en blanco. Serie indagaciones";"Universidad Nacional del Centro de la Provincia de Buenos Aires; Facultad de Ciencias Humanas; Núcleo de Estudios Educacionales y Sociales";1;1;10454;Argentina;2313-9927;1515-9485;;"Educación, Pedagogía"
6960;"Espacios públicos";"Universidad Autónoma del Estado de México, Facultad de Ciencias Políticas y Sociales";1;1;2287;México;2954-4750;1665-8140;1665-8140;"Ciencia política y administración pública, Ciencias de la comunicación, Educación"
21957;Espergesia;"Universidad César Vallejo";1;1;11161;Perú;2410-4558;2410-4558;2312-6027;Cultura
29800;Espila;"ISAE Universidad";1;1;11824;Panamá;2710-7515;2710-7515;;Multidisciplinarias
26562;Espiral;"Universidad Nacional Mayor de San Marcos, Facultad de Ciencias Sociales";1;1;10887;Perú;2708-8464;2663-8134;;"Geografía, Historia"
6982;"Espiral estudios sobre estado y sociedad";"Universidad de Guadalajara, Centro Universitario de Ciencias Sociales y Humanidades";1;1;2299;México;2594-021X;1665-0565;1665-0565;"Ciencias sociales y humanidades, Sociología"
6984;"Espiral. Cuadernos del Profesorado";"Universidad de Almería";1;1;2300;España;1988-7701;1988-7701;;Educación
23482;"Espirales revista multidisciplinaria de investigación";"CRUPO COMPÁS";1;1;9839;Ecuador;2550-6862;;;Multidisciplinarias
23618;"Espíritu Emprendedor TES";"Instituto Tecnológico Superior Espíritu Santo";1;1;9920;Ecuador;2602-8093;;;Multidisciplinarias
29170;"ESPRINT INVESTIGACIÓN.";"Editorial Esprint";1;1;11589;Ecuador;2960-8317;;;"Administración, Ingeniería, Matemáticas, Industria, Ciencias naturales"
25165;"Estado & comunes";"Instituto de Altos Estudios Nacionales";1;1;10445;Ecuador;2477-9245;2477-9245;;"Ciencia política y administración pública, Economía, Relaciones internacionales, Derechos humanos"
26974;"Estado abierto.";"Instituto Nacional de la Administración Pública";1;1;11177;Argentina;2618-4362;2525-1805;;"Administración, Ciencia política y administración pública, Estudios locales, Estudios latinoamericanos"
7013;"Estado, gobierno, gestión pública";"Facultad de Gobierno";1;1;2310;Chile;0717-8980;0717-6759;0717-6759;"Ciencia política y administración pública"
7035;"Estilos da Clínica";"Universidade de São Paulo (USP)";1;1;2313;Brasil;1981-1624;1415-7128;1415-7128;"Pediatría, Psicología"
27765;Estrabão;"Casa de Hiram";1;1;11188;Brasil;2763-7824;2763-7824;;"Cartografía, Ciencias atmosféricas, Geografía, Ciencia y Tecnología, Educación media o secundaria, Ciencias naturales"
24965;Estrategas;"Universidad de las Américas";1;1;10387;Ecuador;2550-6870;;1390-9096;"Ciencias de la comunicación, Ciencias sociales y humanidades"
23508;"Estrategia y Gestión Universitaria";"Universidad de Ciego de Ávila Máximo Gómez Báez, Dirección de Información Científico Técnica (DICT)";1;1;11455;Cuba;2309-8333;2309-8333;;"Ciencias sociales y humanidades, Educación, Planificación educativa, Ciencia, Tecnología educativa"
7062;"Estudios Africanos";"Universidad Autónoma de Madrid (UAM) Servicio de publicaciones";1;1;2320;España;2695-5350;0214-2309;0214-2309;"Geografía, Historia, Multidisciplinarias, Estudios regionales"
23963;"Estudios artísticos";"Universidad Distrital Francisco José de Caldas";1;1;11746;Colombia;2500-9311;2500-6975;2500-6975;Arte
21704;"Estudios bizantinos";"Sociedad Española de Bizantinística; Universidad de Alcalá de Henares";1;1;8775;España;2014-9999;2014-9999;2952-1432;"Arqueología, Arte, Cultura, Historia, Lingüística"
7076;"Estudios constitucionales";"Universidad de Talca. Centro de Estudios Constitucionales";1;1;2328;Chile;0718-5200;0718-0195;0718-0195;"Derecho y jurisprudencia, Derecho internacional, Derecho procesal"
26980;"Estudios críticos del desarrollo";"Universidad Autónoma de Zacatecas «Francisco García Salinas»";1;1;11090;México;2594-0899;2448-5020;2448-5020;"Ciencias sociales y humanidades, Economía, Economía internacional, Estudios latinoamericanos, Educación superior"
26721;"Estudios curatoriales.";"Universidad Nacional de Tres de Febrero";1;1;11769;Argentina;2314-2022;2314-2022;;Arte
7085;"Estudios de Asia y Africa";"El Colegio de México";1;1;2332;México;2448-654X;0185-0164;0185-0164;"Ciencias sociales y humanidades, Relaciones internacionales"
7089;"Estudios de cultura maya";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas";1;1;2333;México;2448-5179;0185-2574;0185-2574;"Antropología, Arqueología, Historia, Lingüística"
7090;"Estudios de cultura náhuatl";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas";1;1;2334;México;3061-8002;0071-1675;0071-1675;"Antropología, Historia, Tecnología"
7094;"Estudios de Deusto";"Universidad de Deusto, Departamento de Publicaciones";1;1;2337;España;2386-9062;0423-4847;0423-4847;"Ciencia política y administración pública, Derecho y jurisprudencia"
7096;"Estudios de economía";"Universidad de Chile. Facultad de Ciencias Económicas y Administrativas. Departamento de Economía";1;1;2339;Chile;0718-5286;0304-2758;0304-2758;Economía
7097;"Estudios de Economía Aplicada";"Asociación de Economía Aplicada";1;1;2340;España;1697-5731;;1133-3197;"Economía, Econometría"
7100;"Estudios de Filosofía";"Universidad de Antioquia";1;1;2341;Colombia;2256-358X;0121-3628;0121-3628;Filosofía
13;"Estudios de filosofía práctica e historia de las ideas";Qellqasqa;1;1;9;Argentina;1851-9490;1515-7180;1515-7180;"Ciencias sociales y humanidades, Etica, Filosofía, Historia de la ciencia, Historia del arte, Literatura, Humanidades"
20413;"Estudios de historia de España.";Selectus;1;1;8049;Argentina;2469-0961;0328-0284;;"Historia, Tecnología"
7105;"Estudios de historia moderna y contemporánea de México";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas";1;1;2344;México;2448-5004;0185-2620;0185-2620;Historia
7106;"Estudios de historia novohispana";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas";1;1;2345;México;2448-6922;0185-2523;0185-2523;Historia
25044;"Estudios de la Gestión";"Universidad Andina Simón Bolívar (Sede Ecuador)";1;1;10407;Ecuador;2661-6513;;;"Ciencia política y administración pública"
7113;"Estudios de lingüística";"Universidad de Alicante";1;1;2348;España;2171-6692;0212-7636;0212-7636;Lingüística
7117;"Estudios de literatura colombiana";"Universidad de Antioquia";1;1;11722;Colombia;2665-3273;0123-4412;0123-4412;Literatura
7125;"Estudios de Psicología";"Fundación Infancia y Aprendizaje";1;1;2354;España;1579-3699;;0210-9395;Psicología
22998;"Estudios de teoría literaria";"Universidad Nacional de Mar del Plata. Facultad de Humanidades. Grupo de Investigación Estudios de Teoría Literaria.";1;1;9588;Argentina;2313-9676;2313-9676;;"Arte, Lingüística, Literatura, Humanidades, Teatro"
19320;"Estudios de Traducción";"Instituto de Lenguas Modernas y Traductores. Facultad de Filología UCM";1;1;7269;España;2254-1756;2174-047X;;Filología
23125;"Estudios del hábitat";"Universidad Nacional de La Plata; Facultad de Arquitectura y Urbanismo";1;1;9650;Argentina;2422-6483;2422-6483;;Arquitectura
20715;"Estudios del ISHiR";"Investigaciones Socio-Históricas Regionales, CONICET";1;1;8257;Argentina;2250-4397;2250-4397;;"Ciencias sociales y humanidades, Historia, Humanidades"
24931;"Estudios del Trabajo";"Asociación Argentina de Especialistas en Estudios del Trabajo";1;1;10372;Argentina;2545-7756;0327-5744;;"Ciencias sociales y humanidades"
7134;"Estudios demográficos y urbanos";"El Colegio de México";1;1;2360;México;2448-6515;0186-7210;0186-7210;"Demografía, Urbanismo"
7135;"Estudios digital";"Universidad Nacional de Córdoba, Centro de Estudios Avanzados";1;1;11533;Argentina;1852-1568;0328-185X;;"Ciencias sociales y humanidades, Estudios latinoamericanos"
7137;"Estudios eclesiásticos";"Universidad Pontificia Comillas";1;1;2361;España;2605-5147;0210-1610;0210-1610;Religión
7139;"Estudios económicos";"El Colegio de México, Centro de Estudios Económicos";1;1;2363;México;0186-7202;0188-6916;0188-6916;Economía
22969;"Estudios económicos";"Editorial de la Universidad Nacional del Sur (EdiUNS)";1;1;9569;Argentina;2525-1295;0425-368X;;"Economía, Multidisciplinarias, Economía internacional"
22824;"Estudios en derecho a la información";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Jurídicas";1;1;9468;México;2594-0082;2594-0082;2683-2083;"Derecho y jurisprudencia"
7146;"Estudios en Seguridad y Defensa";"Escuela Superior de Guerra";1;1;2367;Colombia;2744-8932;1900-8325;1900-8325;"Ciencia política y administración pública, Ciencias sociales y humanidades, Multidisciplinarias"
