"revista_id","revista","issn_canonico"
"REV-0101","Perfiles Educativos","0185-2698; 2448-6167"
"REV-0102","JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS","2352-409X"
"REV-0103","FRONTIERS IN ECOLOGY AND EVOLUTION","2296-701X"
"REV-0104","URBANO","0717-3997; 0718-3607"
"REV-0105","QUADERNS DE PSICOLOGIA","0211-3481; 2014-4520"
"REV-0106","GLOBAL HEALTH PROMOTION","1757-9759; 1757-9767"
"REV-0107","AIBR-REVISTA DE ANTROPOLOGIA IBEROAMERICANA","1578-9705; 1695-9752"
"REV-0108","LEADERSHIP AND POLICY IN SCHOOLS","1570-0763; 1744-5043"
"REV-0109","EDUCATIONAL GERONTOLOGY","0360-1277; 1521-0472"
"REV-0110","EDUCACION","1019-9403; 2304-4322"
"REV-0111","Augmented Exploitation: Artificial Intelligence, Automation and Work","74534350; 74534353"
"REV-0112","TERAPIA PSICOLOGICA","0716-6184; 0718-4808"
"REV-0113","BRITISH JOURNAL OF SOCIAL WORK","0045-3102; 1468-263X"
"REV-0114","HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY","0018-442X; 1618-1301"
"REV-0115","REVISTA MEDICA DE CHILE","0034-9887; 0717-6163"
"REV-0116","REICE-REVISTA IBEROAMERICANA SOBRE CALIDAD EFICACIA Y CAMBIO EN EDUCACION","1696-4713"
"REV-0117","JOURNAL OF BIOSOCIAL SCIENCE","0021-9320; 1469-7599"
"REV-0118","ENERGY RESEARCH & SOCIAL SCIENCE","2214-6296"
"REV-0119","JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY","0278-4165; 1090-2686"
"REV-0120","JOURNAL OF INTERPERSONAL VIOLENCE","0886-2605; 1552-6518"
"REV-0121","FRONTIERS IN SUSTAINABLE CITIES","2624-9634"
"REV-0122","EARTHS FUTURE","2328-4277"
"REV-0123","REVISTA CS EN CIENCIAS SOCIALES","2011-0324; 2665-4814"
"REV-0124","NATURE PLANTS","2055-026X; 2055-0278"
"REV-0125","INTERNATIONAL JOURNAL OF DRUG POLICY","0955-3959; 1873-4758"
"REV-0126","FRONTIERS IN EDUCATION","2504-284X"
"REV-0127","REVISTA CHILENA DE NUTRICION","0716-1549; 0717-7518"
"REV-0128","SOCIAL IDENTITIES","1350-4630; 1363-0296"
"REV-0129","QUALITATIVE SOCIAL WORK","1473-3250; 1741-3117"
"REV-0130","Educação & Realidade","0100-3143; 2175-6236"
"REV-0131","JOURNAL OF COMMUNITY PSYCHOLOGY","0090-4392; 1520-6629"
"REV-0132","PSYCHOTHERAPY RESEARCH","1050-3307; 1468-4381"
"REV-0133","ELIFE","2050-084X"
"REV-0134","REVISTA CRITICA DE CIENCIAS SOCIAIS","0254-1106"
"REV-0135","RESOURCES POLICY","0301-4207; 1873-7641"
"REV-0136","REVISTA IBEROAMERICANA DE EDUCACION","1022-6508; 1681-5653"
"REV-0137","ENCRUCIJADA AMERICANA","0718-5766; 0719-3432"
"REV-0138","SCIENCE OF THE TOTAL ENVIRONMENT","0048-9697; 1879-1026"
"REV-0139","JOURNAL OF AFFECTIVE DISORDERS","0165-0327; 1573-2517"
"REV-0140","DESENVOLVIMENTO E MEIO AMBIENTE","1518-952X; 2176-9109"
"REV-0141","A History of Chilean Literature","110848737; 110876661"
"REV-0142","HERITAGE AND SOCIETY","2159-032X; 2159-0338"
"REV-0143","Interrogating the Relations between Migration and Education in the South: Migrating Americas","9781000504"
"REV-0144","AISTHESIS","0568-3939; 0718-7181"
"REV-0145","Ciencias Sociales","0797-5538; 1688-4981"
"REV-0146","Sociedade e Estado","0102-6992; 1980-5462"
"REV-0147","Revista de psicología","0716-8039; 0719-0581"
"REV-0148","ESTUDIOS FILOLOGICOS","0071-1713; 0717-6171"
"REV-0149","CUADERNOS INFO","0719-3661; 0719-367X"
"REV-0150","COLOMBIA INTERNACIONAL","0121-5612"
"REV-0151","INTERDISCIPLINARIA","0325-8203; 1668-7027"
"REV-0152","CHILDREN & SOCIETY","0951-0605; 1099-0860"
"REV-0153","LATIN AMERICAN JOURNAL OF CONTENT & LANGUAGE INTEGRATED-LACLIL","2011-6721; 2322-9721"
"REV-0154","ANALES DE PSICOLOGIA","0212-9728; 1695-2294"
"REV-0155","ARTHRITIS CARE & RESEARCH","2151-464X; 2151-4658"
"REV-0156","Pensamiento Educativo","0717-1013; 0719-0409"
"REV-0157","Companion to Urban and Regional Studies","9781119316"
"REV-0158","Curriculum Studies Worldwide","2731-6386; 2731-6394"
"REV-0159","JOURNAL OF ALZHEIMERS DISEASE","1387-2877; 1875-8908"
"REV-0160","JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES","2190-6483; 2190-6491"
"REV-0161","BITACORA URBANO TERRITORIAL","0124-7913; 2027-145X"
"REV-0162","ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES","1866-9557; 1866-9565"
"REV-0163","MEDICAL ANTHROPOLOGY","0145-9740; 1545-5882"
"REV-0164","ELEUTHERA","2011-4532; 2463-1469"
"REV-0165","CRANIO-THE JOURNAL OF CRANIOMANDIBULAR & SLEEP PRACTICE","0886-9634; 2151-0903"
"REV-0166","PERSONALITY AND INDIVIDUAL DIFFERENCES","0191-8869"
"REV-0167","CUHSO-CULTURA-HOMBRE-SOCIEDAD","0716-1557; 2452-610X"
"REV-0168","JOURNAL OF SOCIAL ISSUES","0022-4537; 1540-4560"
"REV-0169","FEMINIST LEGAL STUDIES","0966-3622; 1572-8455"
"REV-0170","ARCHIVOS LATINOAMERICANOS DE NUTRICION","0004-0622"
"REV-0171","CRITICAL SOCIAL POLICY","0261-0183; 1461-703X"
"REV-0172","JOURNAL OF HUMAN RIGHTS AND SOCIAL WORK","2365-1792"
"REV-0173","EX AEQUO","0874-5560; 2184-0385"
"REV-0174","ECLINICALMEDICINE","2589-5370"
"REV-0175","QUATERNARY SCIENCE REVIEWS","0277-3791"
"REV-0176","REVISTA AUSTRAL DE CIENCIAS SOCIALES","0717-3202; 0718-1795"
"REV-0177","PERSPECTIVA EDUCACIONAL","0718-9729"
"REV-0178","GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL","0883-6353; 1520-6548"
"REV-0179","FRONTIERS IN SOCIOLOGY","2297-7775"
"REV-0180","AMERICAN JOURNAL OF HUMAN BIOLOGY","1042-0533; 1520-6300"
"REV-0181","CULTURA DE LOS CUIDADOS","1138-1728; 1699-6003"
"REV-0182","CURRENT SOCIOLOGY","0011-3921; 1461-7064"
"REV-0183","Revista Chilena de Derecho y Ciencia Política","0718-9389; 0719-2150"
"REV-0184","SCIENCE ADVANCES","2375-2548"
"REV-0185","QUALITATIVE RESEARCH IN PSYCHOLOGY","1478-0887; 1478-0895"
"REV-0186","HUMAN ECOLOGY REVIEW","1074-4827"
"REV-0187","CRITICAL AND RADICAL SOCIAL WORK","2049-8608; 2049-8675"
"REV-0188","PLOS Global Public Health","2767-3375"
"REV-0189","RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA","0033-698X; 0718-4883"
"REV-0190","JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY","1052-9284; 1099-1298"
"REV-0191","ESTUDIOS POLITICOS","0121-5167"
"REV-0192","PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","0146-1672; 1552-7433"
"REV-0193","Revista Mexicana de Sociologia","0188-2503; 2594-0651"
"REV-0194","Preventive Medicine Reports","2211-3355"
"REV-0195","PAPERS-REVISTA DE SOCIOLOGIA","0210-2862"
"REV-0196","Revista estudios de politicas publicas","0719-6296"
"REV-0197","REVISTA DE GEOGRAFIA NORTE GRANDE","0379-8682; 0718-3402"
"REV-0198","SOCIAL SCIENCE QUARTERLY","0038-4941; 1540-6237"
"REV-0199","Frontiers in Climate","2624-9553"
"REV-0200","CHILDRENS GEOGRAPHIES","1473-3277; 1473-3285"
"REV-0201","Psicologia e Sociedade","0102-7182; 1807-0310"
"REV-0202","Revista de Arqueologia","0102-0420"
"REV-0203","ATENEA","0718-0462"
"REV-0204","Rumbos TS","0718-4182; 0719-7721"
"REV-0205","Where Has Social Justice Gone?: From Equality to Experimentation","978-3-030-"
"REV-0206","UNIVERSUM-REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES","0716-498X; 0718-2376"
"REV-0207","AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY","2692-7691"
